season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2023,REG,0,Zay Flowers,WR,BAL,7.666698113207548,3.6810160964910574,8.651944444444444,22.834430159502062,77,108,71.29629629629629,858.0,5,5.084415584415586,4.108854807018525,0.9755607773970612,00-0039064,Xavien,Flowers,4,Z.Flowers
2023,REG,0,Jakobi Meyers,WR,LV,7.315252525252526,2.7319104935965197,9.59179245283019,24.79043230195304,71,106,66.98113207547169,807.0,8,3.5307042253521126,3.664057657346567,-0.13335343199445449,00-0034960,Jakobi,Meyers,16,J.Meyers
2023,REG,0,Rondale Moore,WR,ARI,7.297755102040817,4.4956080947627575,5.064838709677419,7.9904731127526425,40,62,64.51612903225806,352.0,1,5.4735,5.674917814881669,-0.201417814881669,00-0036936,Rondale,Moore,4,R.Moore
2023,REG,0,Jerry Jeudy,WR,DEN,7.224875,3.6293528534451753,12.650574712643676,30.843819185606584,54,87,62.06896551724138,758.0,2,6.215000000000002,5.317385990388565,0.8976140096114369,00-0036407,Jerry,Jeudy,10,J.Jeudy
2023,REG,0,Dontayvion Wicks,WR,GB,7.1657142857142855,3.1723428820324013,10.272758620689654,12.373219254890557,39,58,67.24137931034483,581.0,4,5.646923076923078,3.491224749100244,2.155698327822834,00-0038393,Dontayvion,Wicks,13,D.Wicks
2023,REG,0,Elijah Moore,WR,CLE,7.149148936170213,3.6944083650887194,11.010576923076922,22.355803020600685,59,104,56.730769230769226,640.0,2,3.5438983050847455,3.7462336709182105,-0.202335365833465,00-0036980,Elijah,Moore,8,E.Moore
2023,REG,0,Kendrick Bourne,WR,NE,7.143272727272727,2.7471220936956757,10.090000000000002,14.125106266003534,37,55,67.27272727272727,406.0,4,5.406756756756757,3.793554141119025,1.6132026156377326,00-0033307,Kendrick,Bourne,84,K.Bourne
2023,REG,0,Jahan Dotson,WR,WAS,7.126538461538462,2.586194076625611,9.839397590361447,18.336394376063698,49,83,59.036144578313255,518.0,4,2.3300000000000005,2.868707727311854,-0.5387077273118535,00-0037741,Jahan,Dotson,1,J.Dotson
2023,REG,0,Cooper Kupp,WR,LAR,7.09406976744186,3.3519765706679183,8.138842105263157,18.019338645362616,59,95,62.10526315789474,737.0,5,5.816610169491526,4.61507445529143,1.2015357142000962,00-0033908,Cooper,Kupp,10,C.Kupp
2023,REG,0,Robert Woods,WR,HOU,7.074848484848485,2.6228678300843162,9.988,14.797241640872075,40,75,53.333333333333336,426.0,1,3.3567500000000003,3.132723177813903,0.22402682218609726,00-0030431,Robert,Woods,2,R.Woods
2023,REG,0,Pat Freiermuth,TE,PIT,7.044166666666666,2.954802799154321,6.752340425531914,8.715855848928095,32,47,68.08510638297872,308.0,2,4.5981250000000005,3.69807839259292,0.9000466074070803,00-0036894,Pat,Freiermuth,88,P.Freiermuth
2023,REG,0,Jaxon Smith-Njigba,WR,SEA,7.028426966292136,3.7858879094775504,6.213440860215052,13.533706036241336,63,93,67.74193548387096,628.0,4,5.916190476190475,5.616324505481724,0.2998659707087512,00-0038543,Jaxon,Smith-Njigba,11,J.Smith-Njigba
2023,REG,0,JuJu Smith-Schuster,WR,NE,7.014888888888888,2.4220562074219356,7.197872340425533,8.6107279030345,29,47,61.702127659574465,260.0,1,3.3879310344827585,4.099745854290936,-0.7118148198081777,00-0033857,John,Smith-Schuster,7,J.Smith-Schuster
2023,REG,0,Wan'Dale Robinson,WR,NYG,6.9703389830508495,3.973480571288485,5.239102564102563,11.493622466916984,60,78,76.92307692307693,525.0,1,5.0440000000000005,4.384356634702925,0.6596433652970752,00-0038117,Charles,Robinson,17,W.Robinson
2023,REG,0,Diontae Johnson,WR,PIT,6.955529411764705,2.9033799106617955,12.482298850574711,29.82439758539814,51,87,58.620689655172406,710.0,5,5.040196078431372,3.993679082424847,1.0465169960065253,00-0035216,Diontae,Johnson,18,D.Johnson
2023,REG,0,Chris Godwin,WR,TB,6.940731707317076,2.9221610769328694,9.345615384615385,25.63841214170101,83,130,63.84615384615384,1024.0,2,4.781927710843373,4.131302451876124,0.6506252589672492,00-0033921,Rod,Godwin,14,C.Godwin
2023,REG,0,Tank Dell,WR,HOU,6.899866666666667,2.946577120404939,14.231333333333332,21.083748318495275,47,75,62.66666666666667,709.0,7,3.1906382978723404,2.97705863581291,0.21357966205943058,00-0038977,Nathaniel,Dell,3,T.Dell
2023,REG,0,Curtis Samuel,WR,WAS,6.842162162162162,3.28831749243485,7.140659340659339,14.589722979375006,62,91,68.13186813186813,613.0,4,4.412741935483871,4.120330881905434,0.2924110535784372,00-0033282,Curtis,Samuel,4,C.Samuel
2023,REG,0,Keenan Allen,WR,LAC,6.78274074074074,3.0652255961221413,9.456199999999999,30.103718104083143,108,150,72.0,1243.0,7,4.035740740740741,3.919318986116947,0.11642175462379445,00-0030279,Keenan,Allen,13,K.Allen
2023,REG,0,Demario Douglas,WR,NE,6.782602739726027,3.0733747606638384,8.114810126582277,16.31711302630306,49,79,62.0253164556962,561.0,0,6.970204081632653,6.969532827809275,0.0006712538233779597,00-0038621,Demario,Douglas,81,D.Douglas
2023,REG,0,Michael Pittman,WR,IND,6.778235294117646,2.940494004551059,7.922564102564103,30.054885329299825,109,156,69.87179487179486,1152.0,4,4.893119266055046,4.606101742793048,0.2870175232619978,00-0036252,Michael,Pittman,11,M.Pittman
