season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
2023,REG,0,James Conner,RB,ARI,3.746038461538462,25.0,2.958704301075268,208,1040,5.0,7,00-0033553,James,Conner,6,J.Conner,821.9856401689924,211.0143598310076,1.0193930426618725,0.42995169082125606
2023,REG,0,David Montgomery,RB,DET,3.455369458128078,21.00456621004566,2.5513284313725495,219,1015,4.634703196347032,13,00-0035685,David,Montgomery,5,D.Montgomery,911.0802912037502,61.91970879624978,0.28799864556395244,0.4418604651162791
2023,REG,0,Jaylen Warren,RB,PIT,3.6289540816326533,12.080536912751679,2.8620751879699244,149,784,5.261744966442953,4,00-0037228,Jaylen,Warren,30,J.Warren,596.2724016193888,161.7275983806112,1.1077232765795288,0.3972602739726027
2023,REG,0,James Cook,RB,BUF,3.471907308377897,10.126582278481013,2.6385209302325574,237,1122,4.734177215189874,2,00-0037248,James,Cook,4,J.Cook,1006.900675358308,105.09932464169196,0.4491424129986836,0.42735042735042733
2023,REG,0,D'Onta Foreman,RB,CHI,3.828047058823529,20.18348623853211,2.6336938775510212,109,425,3.8990825688073394,4,00-0033925,D'Onta,Foreman,21,D.Foreman,418.77862707101326,8.221372928986739,0.07683526101856765,0.42990654205607476
2023,REG,0,Derrick Henry,RB,TEN,3.9126306769494414,35.35714285714286,2.801296442687748,280,1167,4.167857142857143,12,00-0032764,Derrick,Henry,22,D.Henry,1067.3732266281295,83.62677337187051,0.30520720208711866,0.40145985401459855
2023,REG,0,Brian Robinson,RB,WAS,3.689972714870395,14.04494382022472,2.7781785714285725,178,733,4.117977528089888,5,00-0037746,Brian,Robinson,8,B.Robinson,690.980581916826,38.019418083173946,0.2160194209271247,0.4090909090909091
2023,REG,0,Rhamondre Stevenson,RB,NE,3.4691599353796434,16.666666666666664,2.5158750000000007,156,619,3.967948717948718,4,00-0036875,Rhamondre,Stevenson,38,R.Stevenson,623.3386216128114,-18.33862161281138,-0.11986027197915934,0.37254901960784315
2023,REG,0,Isiah Pacheco,RB,KC,3.5736470588235294,12.195121951219512,2.762369791666666,205,935,4.560975609756097,7,00-0037197,Isiah,Pacheco,10,I.Pacheco,828.4860755008264,90.51392449917364,0.4525696224958682,0.4
2023,REG,0,Ty Chandler,RB,MIN,3.738722891566265,17.0,2.906308510638297,100,415,4.15,3,00-0037276,Ty,Chandler,32,T.Chandler,427.57665228011314,-13.576652280113137,-0.13713790181932461,0.41414141414141414
2023,REG,0,Ezekiel Elliott,RB,NE,3.909688473520248,17.934782608695652,2.7091197604790422,184,642,3.489130434782609,3,00-0033045,Ezekiel,Elliott,15,E.Elliott,700.5630598138597,-70.5630598138597,-0.38770911985637196,0.4175824175824176
2023,REG,0,Kyren Williams,RB,LAR,3.2243444055944064,4.824561403508771,2.6345117370892037,228,1144,5.017543859649122,12,00-0037840,Kyren,Williams,23,K.Williams,972.3328873979143,145.6671126020857,0.6502996098307398,0.42410714285714285
2023,REG,0,Jahmyr Gibbs,RB,DET,3.748931216931216,15.934065934065933,2.8919575757575755,182,945,5.1923076923076925,10,00-0039139,Jahmyr,Gibbs,26,J.Gibbs,868.0531405561819,71.94685944381808,0.3974964610155695,0.3370165745856354
2023,REG,0,Austin Ekeler,RB,LAC,4.149633757961783,15.083798882681565,2.634852760736196,179,628,3.5083798882681565,5,00-0033699,Austin,Ekeler,30,A.Ekeler,648.716841214827,-47.716841214827014,-0.26958667353009613,0.3502824858757062
2023,REG,0,Jonathan Taylor,RB,IND,3.4509716599190283,14.201183431952662,2.7430000000000003,169,741,4.384615384615385,7,00-0036223,Jonathan,Taylor,28,J.Taylor,676.8564513393274,54.14354866067265,0.32421286623157275,0.33532934131736525
2023,REG,0,Raheem Mostert,RB,MIA,4.2526185770751,14.354066985645932,2.93470588235294,209,1012,4.842105263157895,18,00-0031687,Dominique,Mostert,31,R.Mostert,876.1228659482747,125.8771340517253,0.6140348002523186,0.3853658536585366
2023,REG,0,A.J. Dillon,RB,GB,4.137830342577488,25.280898876404496,2.5971656441717803,178,613,3.443820224719101,2,00-0036265,Algiers,Dillon,28,A.Dillon,669.7273457675097,-63.727345767509746,-0.3620871918608508,0.3693181818181818
2023,REG,0,Zamir White,RB,LV,3.703725055432374,15.384615384615385,2.854360824742268,104,451,4.336538461538462,1,00-0038040,Zamir,White,35,Z.White,414.4838005237959,33.51619947620412,0.32539999491460314,0.46601941747572817
2023,REG,0,Alvin Kamara,RB,NO,4.052824207492796,21.11111111111111,2.613817073170731,180,694,3.8555555555555556,5,00-0033906,Alvin,Kamara,41,A.Kamara,783.8111288118097,-98.81112881180968,-0.5646350217817696,0.3314285714285714
2023,REG,0,Zack Moss,RB,IND,3.3064357682619647,14.754098360655737,2.669816568047336,183,794,4.33879781420765,5,00-0036251,Zaccheus,Moss,21,Z.Moss,662.5150028805103,129.48499711948966,0.711456028129064,0.4175824175824176
2023,REG,0,Joe Mixon,RB,CIN,3.7781721470019343,15.17509727626459,2.599106382978724,257,1034,4.023346303501945,9,00-0033897,Joe,Mixon,28,J.Mixon,1025.1023677053327,5.897632294667346,0.02303762615104432,0.41015625
